teraz zrób plik csv,instytucja,fundusz,DATA_fundusz,typ_aktywa,emitent,isin,waluta,liczba_sztuk,wartosc_nominalna,wartosc_wg_ceny_nabycia,wartosc_wg_wyceny,udziaĹ‚_proc_aktywa,termin_wykupu,rodzaj_oprocentowania,oprocentowanie,rodzaj_rynku,rynek,nazwa_instrumentu,typ_instrumentu,poziom_hierarchii,TYP_aktywo_std,wartosc_wg_wyceny_num
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Subfunduszu PPK inPZU 20,45 wydzi,elonego w ramach,PPK inPZU Specjali,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Funduszu Inwestycyjnego O,twarteg,o,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,za okres od 1 stycznia 2024 r.,do 31 gru,dnia 2024 r.,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Zarząd TFI PZU SA:,,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Tomasz Stadnik,Prezes Zarz,ądu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Tomasz Bilecki,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Marcin Dobrzański,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Marcin Jakubiak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Jarosław Leśniczak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Biuro Księgowości Fundu,szy TFI PZ,U SA:,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Marcin Bielecki,D,yrektor Biura,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,,…………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,"Warszawa, 24 marca 2025 r.",,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Zarząd Towarzystwa Fu,nduszy Inwest,ycyjnych,PZU,S.A. zgodnie z Ust,awą z dnia 29 września 1994 r. o rachunkow,ości oraz,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Rozporządzeniem Minist,ra Finansów,z dnia,24 g,rudnia 2007 r. w,sprawie szczególnych zasad rachunkowości,funduszy,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,inPZU Specjalistycznego,Funduszu Inw,estycyjn,ego O,"twartego, zwanego","dalej „Subfunduszem”, obejmujące:",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,I. Zestawienie lokat,według stanu,na 31 g,rudnia,"2024 r., z tabelam","i uzupełniającymi oraz dodatkowymi,",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,II. Bilans sporządzon,y na dzień 31,grudnia,2024,"r.,",,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,III. Rachunek wyniku,z operacji za,okres od,1 sty,cznia do 31 grudnia,"2024 r.,",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,IV. Zestawienie zmian,w aktywach,"netto,",,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,V. Noty objaśniające,",",,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,VI. Informację dodat,kową.,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,ZEST,AWIENI,E LOKAT,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Zestawi,enie lokat,należy anali,zować łącznie,z notami objaśniającymi,i informacją,"dodatkową, k",tóre,stanowią integralną c,zęść prezentowanego s,pra,wozdan,ia jednostko,we,go.,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Tabela,Główn,a,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,,,,,31.12.202,4,,,,,31.12.202,3,,,,,4.0
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,SKŁADNIKI,LOKAT,Wartość we,dług ceny,Wartość we,dłu,g Procentowy udz,iał w Wartość według,ce,ny,Wartość we,dłu,g Procentowy,udz,iał w,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,,,nabycia,w tys. zł,wyceny na d bilansowy w,zie tys.,ń aktywach ogół zł,em nabycia w tys,. zł,b,wyceny na d ilansowy w,zie tys.,ń aktywach zł,ogół,em,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Akcje,,,,,554 239,,643,378,"63,69",414,582,,488,938,,"68,84",,643.0
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Warrant,y subskrypc,yjne,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Prawa d,o akcji,,,,0,,,0,"0,00",,804,,,916,,"0,13",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Prawa p,oboru,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Kwity de,pozytowe,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Listy zas,tawne,,,,2 500,,2,499,"0,25",1,500,,1,501,,"0,21",,2.0
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Dłużne p,apiery wart,ościowe,,,320 323,,329,260,"32,60",191,306,,199,273,,"28,06",,329.0
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Instrum,enty pochod,ne,,,0,,,430,"0,04",,0,,1,019,,"0,14",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Udziały,w spółkach,z ograniczoną,odpowiedzialno,ścią,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Jednostk,i uczestnict,wa,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Certyfika,ty inwestyc,yjne,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Tytuły u,czestnictwa,emitowane p,rzez instytucje w,spólnego,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,inwesto,wania mając,e siedzibę za,granicą,,6 945,,6,919,"0,68",,0,,,0,,"0,00",,6.0
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Wierzyte,lności,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Udzielon,e pożyczki,pieniężne,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Weksle,,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Depozyt,y,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Waluty,,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Nierucho,mości,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Statki m,orskie,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Inne,,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Razem,,,,,884 007,9,82,486,"97,26 6",08,192,6,91,647,,"97,38",,82.0
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,W tabeli,prezentow,ane są instru,menty pochodne,posiadane przez Subfundu,"sz, których wy",cena na dzień,bila,nsowy jest dodatnia. Ko,mpletna informacja dotyczą,ca i,nstrume,ntów pochod,nych,posiadanych przez,Subf,undusz,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,znajduje,się w tabeli,uzupełniając,ej „Instrumenty,pochodne” oraz w „Nocie 6,Instrumenty po,"chodne”, w któ",ryc,h zaprezentowano także (,o ile takowe występowały),niew,ystanda,ryzowane ins,trum,"enty pochodne, któr",ych,wycena,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,na dzień,bilansowy,była ujemna i,która tym sam,ym została odniesiona w z,obowiązania Su,bfunduszu oraz,wy,standaryzowane instrume,"nty pochodne, których wa",rtoś,ć bilanso,wa wynosiła,zero,z uwagi na dzienn,e roz,liczenia,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,AKCJE,,R,o,dzaj r,ynku,Nazwa r,ynku Lic,zba,,emitenta na,ceny bycia,wyceny na d w bilansowy w,zie tys,ń aktywach ogółe . zł,m,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,,,,,,,,,,,,t,ys. zł,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,adidas AG (DE0,00A1EWWW0),Aktywny,rynek,-,rynek,regulowany,Xetra,,6,575,Niemcy,5,140,6,653,"0,66",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Adobe Systems,Inc (US00724F1012),Aktywny,rynek,-,rynek,regulowany,NASDAQ Stock,Market,3,141,Stany Zjednoczone,6,836,5,728,"0,57",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Advanced Micro,Devices Inc (US0079031078),Aktywny,rynek,-,rynek,regulowany,NASDAQ Stock,Market,11,810,Stany Zjednoczone,5,804,5,850,"0,58",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,AGORA (PLAGO,RA00067),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,294,260,Polska,3,385,2,898,"0,29",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,ALIOR (PLALIOR,00045),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,4,566,Polska,,298,,393,"0,04",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Allegro.eu SA (L,U2237380790),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,829,506,Luksemburg,23,614,22,463,"2,22",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Alphabet Inc (U,S02079K3059),Aktywny,rynek,-,rynek,regulowany,NASDAQ Stock,Market,10,320,Stany Zjednoczone,5,547,8,012,"0,79",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Amazon.com In,c (US0231351067),Aktywny,rynek,-,rynek,regulowany,NASDAQ Stock,Market,12,045,Stany Zjednoczone,8,961,10,838,"1,07",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Anglo American,PLC (GB00B1XZS820),Aktywny,rynek,-,rynek,regulowany,London Stock,Exchange,71,710,Wielka Brytania,9,741,8,728,"0,86",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Apple Inc (US03,78331005),Aktywny,rynek,-,rynek,regulowany,NASDAQ Stock,Market,7,882,Stany Zjednoczone,6,328,8,095,"0,80",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Archicom SA (PL,ARHCM00016),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,217,010,Polska,5,081,8,897,"0,88",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,ASML Holding N,V (NL0010273215),Aktywny,rynek,-,rynek,regulowany,Euronext Amst,erdam,1,778,Holandia,4,940,5,156,"0,51",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,ASSECOSEE (PL,ASSEE00014),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,50,865,Polska,2,221,2,492,"0,25",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,ASTRAZENECA,PLC (GB0009895292),Aktywny,rynek,-,rynek,regulowany,London Stock,Exchange,9,790,Wielka Brytania,5,204,5,277,"0,52",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,AUTOPARTN (P,LATPRT00018),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,204,718,Polska,3,829,4,053,"0,40",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,BAE Systems PL,C (GB0002634946),Aktywny,rynek,-,rynek,regulowany,London Stock,Exchange,96,640,Wielka Brytania,4,580,5,715,"0,57",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,BARRICK GOLD,(CA0679011084),Aktywny,rynek,-,rynek,regulowany,Toronto Stock,Exchange,18,810,Kanada,1,822,1,197,"0,12",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,BENEFIT (PLBN,FTS00018),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,8,470,Polska,9,368,24,521,"2,43",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,BGZBNPP (PLBG,Z0000010),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,43,200,Polska,4,326,3,681,"0,36",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Bioceltix SA (PL,BCLTX00019),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,39,039,Polska,2,237,3,420,"0,34",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,BUDIMEX (PLBU,DMX00013),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,18,874,Polska,6,685,8,807,"0,87",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,CCC (PLCCC000,0016),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,22,866,Polska,,941,4,203,"0,42",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,CDPROJEKT (PL,OPTTC00011),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,98,565,Polska,13,463,18,870,"1,87",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Cie Financiere R,ichemont SA (CH0210483332),Aktywny,rynek,-,rynek,regulowany,Six Swiss Exch,ange,5,760,Francja,3,613,3,604,"0,36",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,CREOTECH (PLC,RTCH00017),Aktywny,rynek,-,rynek,regulowany,Główny Rynek,GPW,19,575,Polska,3,042,3,386,"0,34",,
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,cyber_Folks,S.A. (PLR220000018),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,36,985,Polska,3,191,5,566,"0,55",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Datawalk SA,(PLPILAB00012),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,12,611,Polska,2,042,,714,"0,07",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,DexCom Inc,(US2521311074),Aktywny,rynek,-,rynek,regulowany,NASDAQ,Stock,Market,18,133,Stany Zjednoczone,8,074,5,784,"0,57",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,DINOPL (PLD,INPL00011),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,69,520,Polska,24,172,27,099,"2,68",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,DOMDEV (PL,DMDVL00012),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,23,148,Polska,3,256,4,218,"0,42",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,GRENEVIA (P,LFAMUR00012),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW 1,569,856,Polska,5,710,3,446,"0,34",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Indra Sistem,as SA (ES0118594417),Aktywny,rynek,-,rynek,regulowany,Spanish S,tock,Exchange,57,199,Hiszpania,3,216,4,175,"0,41",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,InPost SA (L,U2290522684),Aktywny,rynek,-,rynek,regulowany,Euronext,Amst,erdam,115,251,Luksemburg,4,624,8,131,"0,80",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,INTERCARS (,PLINTCS00010),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,5,260,Polska,1,641,2,740,"0,27",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Intuitive Surg,ical Inc (US46120E6023),Aktywny,rynek,-,rynek,regulowany,NASDAQ,Stock,Market,4,754,Stany Zjednoczone,7,403,10,177,"1,01",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Jeronimo Ma,rtins SGPS SA (PTJMT0AE0001),Aktywny,rynek,-,rynek,regulowany,Euronext,Lisbo,n,98,460,Portugalia,8,236,7,762,"0,77",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,KETY (PLKET,Y000011),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,6,287,Polska,3,358,4,291,"0,42",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,KGHM (PLKG,HM000017),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,99,668,Polska,12,081,11,462,"1,13",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,KRUK (PLKR,K0000010),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,40,646,Polska,15,813,16,901,"1,67",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,L3Harris Tec,hnologies Inc (US5024311095),Aktywny,rynek,-,rynek,regulowany,New York,Stoc,k Exchange,8,420,Stany Zjednoczone,8,856,7,261,"0,72",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,LPP (PLLPP0,000011),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,2,596,Polska,35,125,40,368,"4,00",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,LVMH Moet H,ennessy Louis Vuitt (FR0000121014),Aktywny,rynek,-,rynek,regulowany,Euronext,Paris,,1,560,Francja,5,609,4,236,"0,42",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,MBANK (PLB,RE0000012),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,14,538,Polska,6,696,7,955,"0,79",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Microsoft Cor,p (US5949181045),Aktywny,rynek,-,rynek,regulowany,NASDAQ,Stock,Market,7,045,Stany Zjednoczone,10,624,12,178,"1,21",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,MIRBUD (PL,MRBUD00015),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,728,913,Polska,8,100,8,659,"0,86",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,ML System S,A (PLMLSTM00015),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,30,540,Polska,2,280,,569,"0,06",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Mo-BRUK SA,(PLMOBRK00013),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,11,035,Polska,3,248,3,614,"0,36",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,NEUCA (PLT,RFRM00018),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,11,054,Polska,7,271,9,650,"0,96",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Newmont Mi,ning Corp (US6516391066),Aktywny,rynek,-,rynek,regulowany,New York,Stoc,k Exchange,5,566,Stany Zjednoczone,1,579,,850,"0,08",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,NIKE Inc (US,6541061031),Aktywny,rynek,-,rynek,regulowany,New York,Stoc,k Exchange,17,426,Stany Zjednoczone,7,905,5,408,"0,54",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,NVIDIA Corp,(US67066G1040),Aktywny,rynek,-,rynek,regulowany,NASDAQ,Stock,Market,17,515,Stany Zjednoczone,1,774,9,646,"0,95",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,Palo Alto Net,works Inc (US6974351057),Aktywny,rynek,-,rynek,regulowany,NASDAQ,Stock,Market,9,020,Stany Zjednoczone,3,647,6,731,"0,67",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,PEKAO (PLPE,KAO00016),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,269,053,Polska,30,307,37,102,"3,67",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,PKNORLEN (,PLPKN0000018),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,434,784,Polska,28,540,20,522,"2,03",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,PKOBP (PLPK,O0000016),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,919,411,Polska,38,608,54,944,"5,44",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,PKPCARGO (,PLPKPCR00011),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,66,394,Polska,1,159,,936,"0,09",
,TFI PZU S.A.,inPZU Puls Życia 2045,2045,PZU (PLPZU0,000011),Aktywny,rynek,-,rynek,regulowany,Główny R,ynek,GPW,384,383,Polska,14,162,17,620,"1,73",
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Subfunduszu PPK inPZU 20,50 wydzi,elonego w ramach,PPK inPZU Specjali,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Funduszu Inwestycyjnego O,twarteg,o,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,za okres od 1 stycznia 2024 r.,do 31 gru,dnia 2024 r.,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Zarząd TFI PZU SA:,,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Tomasz Stadnik,Prezes Zarz,ądu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Tomasz Bilecki,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Marcin Dobrzański,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Marcin Jakubiak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Jarosław Leśniczak,Wiceprezes,Zarządu,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,,,,………………………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Biuro Księgowości Fundu,szy TFI PZ,U SA:,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Marcin Bielecki,D,yrektor Biura,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,,,,…………………………,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,"Warszawa, 24 marca 2025 r.",,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Zarząd Towarzystwa Fu,nduszy Inwest,ycyjnych,PZU,S.A. zgodnie z Ust,awą z dnia 29 września 1994 r. o rachunkow,ości oraz,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Rozporządzeniem Minist,ra Finansów,z dnia,24 g,rudnia 2007 r. w,sprawie szczególnych zasad rachunkowości,funduszy,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,inPZU Specjalistycznego,Funduszu Inw,estycyjn,ego O,"twartego, zwanego","dalej „Subfunduszem”, obejmujące:",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,I. Zestawienie lokat,według stanu,na 31 g,rudnia,"2024 r., z tabelam","i uzupełniającymi oraz dodatkowymi,",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,II. Bilans sporządzon,y na dzień 31,grudnia,2024,"r.,",,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,III. Rachunek wyniku,z operacji za,okres od,1 sty,cznia do 31 grudnia,"2024 r.,",,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,IV. Zestawienie zmian,w aktywach,"netto,",,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,V. Noty objaśniające,",",,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,VI. Informację dodat,kową.,,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,ZEST,AWIENI,E LOKAT,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Zestawi,enie lokat,należy anali,zować łącznie,z notami objaśniającymi,i informacją,"dodatkową, k",tóre,stanowią integralną c,zęść prezentowanego s,pra,wozdan,ia jednostko,we,go.,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Tabela,Główn,a,,,,,,,,,,,,,,,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,,,,,,,31.12.202,4,,,,,31.12.202,3,,,,,4.0
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,,,SKŁADNIKI,LOKAT,Wartość we,dług ceny,Wartość we,dłu,g Procentowy udz,iał w Wartość według,ce,ny,Wartość we,dłu,g Procentowy,udz,iał w,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,,,,,nabycia,w tys. zł,wyceny na d bilansowy w,zie tys.,ń aktywach ogół zł,em nabycia w tys,. zł,b,wyceny na d ilansowy w,zie tys.,ń aktywach zł,ogół,em,,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Akcje,,,,,381 711,,439,181,"65,86",264,903,,312,572,,"68,64",,439.0
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Warrant,y subskrypc,yjne,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Prawa d,o akcji,,,,0,,,0,"0,00",,516,,,588,,"0,13",,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Prawa p,oboru,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Kwity de,pozytowe,,,,0,,,0,"0,00",,0,,,0,,"0,00",,
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Listy zas,tawne,,,,2 000,,1,999,"0,30",1,000,,1,001,,"0,22",,1.0
,TFI PZU S.A.,inPZU Puls Życia 2050,2050,Dłużne p,apiery wart,ościowe,,,203 885,,209,554,"31,43",121,045,,125,964,,"27,66",,209.0
